agency_cd,site_no,parameter_cd,ts_id,loc_web_ds,year_nu,mean_va,count_nu
USGS,05325000,80154,73410,,1967,127.0,92
USGS,05325000,80154,73410,,1968,228.3,366
USGS,05325000,80154,73410,,1969,171.7,365
USGS,05325000,80154,73410,,1970,143.4,365
USGS,05325000,80154,73410,,1971,177.9,365
USGS,05325000,80154,73410,,1972,182.8,366
USGS,05325000,80154,73410,,1973,167.1,365
USGS,05325000,80154,73410,,1974,151.5,365
USGS,05325000,80154,73410,,1975,157.6,365
USGS,05325000,80154,73410,,1976,98.7,366
USGS,05325000,80154,73410,,1977,128.6,365
USGS,05325000,80154,73410,,1978,128.6,365
USGS,05325000,80154,73410,,1979,160.9,365
USGS,05325000,80154,73410,,1980,156.2,366
USGS,05325000,80154,73410,,1981,206.8,365
USGS,05325000,80154,73410,,1982,253.2,365
USGS,05325000,80154,73410,,1983,165.2,365
USGS,05325000,80154,73410,,1984,192.1,366
USGS,05325000,80154,73410,,1985,169.6,365
USGS,05325000,80154,73410,,1986,177.8,365
USGS,05325000,80154,73410,,1987,127.3,365
USGS,05325000,80154,73410,,1988,94.2,366
USGS,05325000,80154,73410,,1989,86.5,365
USGS,05325000,80154,73410,,1990,113.9,365
USGS,05325000,80154,73410,,1991,186.0,365
USGS,05325000,80154,73410,,1992,174.8,366
USGS,05325000,80154,73410,,1993,199.5,365
USGS,05325000,80154,73410,,1994,217.4,365
USGS,05325000,80154,73410,,1995,241.4,365
USGS,05325000,80154,73410,,1996,205.3,366
USGS,05325000,80154,73410,,1997,196.9,365
USGS,05325000,80154,73410,,1998,156.1,365
USGS,05325000,80154,73410,,1999,232.0,365
USGS,05325000,80154,73410,,2000,192.0,366
USGS,05325000,80154,73410,,2001,160.6,365
USGS,05325000,80154,73410,,2002,161.0,365
USGS,05325000,80154,73410,,2003,139.8,365
USGS,05325000,80154,73410,,2004,233.5,366
USGS,05325000,80154,73410,,2005,300.4,365
USGS,05325000,80154,73410,,2006,172.4,365
USGS,05325000,80154,73410,,2007,209.3,365
USGS,05325000,80154,73410,,2008,148.5,366
USGS,05325000,80154,73410,,2009,136.6,365
USGS,05325000,80154,73410,,2010,187.2,365
USGS,05325000,80154,73410,,2011,106.6,365
USGS,05325000,80154,73410,,2012,89.6,366
USGS,05325000,80154,73410,,2013,103.7,365
USGS,05325000,80154,73410,,2014,139.7,365
USGS,05325000,80154,73410,,2015,142.0,365
USGS,05325000,80154,73410,,2016,264.2,366
USGS,05325000,80154,73410,,2017,187.2,272
